What concept in other languages is the `Option` enum in Rust designed to handle safely?,It is designed to handle null or nonexistent values.
What are the two variants of the `Option<T>` enum?,"`Some(T)`, which holds a value of type `T`, and `None`, which signifies no value."
"What is the purpose of the `Result<T, E>` enum in Rust?","It is used for error handling, representing either a success (`Ok`) or a failure (`Err`)."
"What are the two variants of the `Result<T, E>` enum?","`Ok(T)`, which contains a success value of type `T`, and `Err(E)`, which contains an error value of type `E`."
What will happen if you call the `.unwrap()` method on an `Option` that has the value `None`?,The program will panic.
What will happen if you call the `.unwrap()` method on a `Result` that has an `Err` value?,The program will panic.
What boolean-returning method can you call on an `Option` to check if it contains a value?,The `is_some()` method.
What boolean-returning method can you call on a `Result` to check if it represents a successful operation?,The `is_ok()` method.
How does `unwrap_or()` differ from `unwrap()` for an `Option` or `Result`?,"`unwrap_or()` returns the contained value if it exists, otherwise it returns a default value that you provide instead of panicking."
What is the result of using the `or` operator (`|`) within a `match` arm pattern?,"It allows a single block of code to run for multiple patterns (e.g., `Some(3) | Some(4) => ...`)."
